onet_soc_code,canonical_title,description,matched_target_families,top_knowledge,top_technology_examples
11-3013.00,Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",,computers and electronics (3.25) | mathematics (3.11) | engineering and technology (3.05) | telecommunications (2.75),microsoft excel | adobe acrobat | autodesk autocad | autodesk revit | google docs | google workspace software | intuit quickbooks | microsoft access | microsoft project | microsoft sharepoint | microsoft visio | oracle peoplesoft | oracle primavera enterprise project portfolio management | sap software | teradata database
11-3013.01,Security Managers,"Direct an organization's security functions, including physical security and safety of employees and facilities.",,computers and electronics (3.47) | telecommunications (3.45) | engineering and technology (2.58) | mathematics (2.45),microsoft excel | sap software | amazon web services aws software | facebook | microsoft access | microsoft azure software | microsoft project | microsoft visio | oracle peoplesoft | alarm system software | corel wordperfect office suite | emergency notification system software | fieldsoft aimsonscene | firewall software | graphics software
11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",,computers and electronics (4.77) | engineering and technology (3.50) | mathematics (3.16) | telecommunications (2.63),amazon web services aws software | microsoft azure software | apache cassandra | apache hadoop | apache maven | apache tomcat | apple macos | atlassian jira | c | c# | c++ | eclipse ide | extensible markup language xml | google analytics | hypertext markup language html
11-3031.00,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",,mathematics (3.73) | computers and electronics (3.25) | telecommunications (1.73) | engineering and technology (1.29),microsoft excel | sap software | adobe acrobat | alteryx software | ibm spss statistics | intuit quickbooks | marketo marketing automation | microsoft access | microsoft project | microsoft sharepoint | microsoft sql server | microsoft visio | microsoft visual basic | microsoft visual basic for applications vba | microsoft windows
11-3031.01,Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",,mathematics (3.92) | computers and electronics (2.80) | engineering and technology (1.44) | telecommunications (1.44),intuit quickbooks | microsoft excel | sap software | hypertext markup language html | microsoft access | microsoft project | oracle peoplesoft | oracle primavera enterprise project portfolio management | structured query language sql | yardi software | accounting software | aderant expert back office powered by keystone | adp software | adp workforce now | automatic data processing pc payroll for windows pcpw
11-3031.03,Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",,mathematics (4.34) | computers and electronics (3.10) | telecommunications (1.89) | engineering and technology (1.52),microsoft excel | microsoft access | microsoft power bi | microsoft project | microsoft visio | sap software | sas | structured query language sql | tableau | autodesk autocad blue sky | financial accounting software | microsoft mappoint | oracle hyperion | oracle hyperion planning | portfolio analysis software
11-3051.00,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",,mathematics (3.40) | engineering and technology (3.21) | computers and electronics (2.96) | telecommunications (2.16),microsoft excel | sap software | adobe acrobat | adobe after effects | adobe indesign | adobe photoshop | autodesk autocad | intuit quickbooks | microsoft project | oracle peoplesoft | abb optimize it predict and control | apple final cut pro | aveva intouch hmi | citect iim | citectscada reports
11-3051.01,Quality Control Systems Managers,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",,mathematics (3.59) | engineering and technology (3.52) | computers and electronics (3.32) | telecommunications (1.57),microsoft excel | adobe acrobat | atlassian jira | extensible markup language xml | linux | microsoft access | microsoft project | microsoft sql server | microsoft visio | oracle java | sap software | selenium | structured query language sql | abbott informatics starlims lims | asi datamyte gagemetrics
11-3051.02,Geothermal Production Managers,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,,mathematics (3.89) | engineering and technology (3.81) | computers and electronics (3.36) | telecommunications (2.80),microsoft access | microsoft excel | data logging software | infostat rimbase | personnel scheduling software
11-3051.03,Biofuels Production Managers,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",,engineering and technology (3.68) | mathematics (3.49) | computers and electronics (3.33) | telecommunications (1.81),adobe acrobat | autodesk autocad | microsoft excel | computerized maintenance management system cmms | distributed control system dcs | employee scheduling software | human machine interface hmi software | inventory control software | web browser software
11-3051.04,Biomass Power Plant Managers,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",,engineering and technology (4.08) | mathematics (3.53) | computers and electronics (3.47) | telecommunications (2.38),microsoft excel | computer aided design cad software | computerized maintenance management system cmms | distributed control system dcs | employee scheduling software | inventory control software
11-3051.06,Hydroelectric Production Managers,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,,engineering and technology (3.62) | computers and electronics (3.60) | mathematics (3.41) | telecommunications (2.71),apache kafka | microsoft access | microsoft active server pages asp | microsoft excel | microsoft project | microsoft sql server | oracle database | sap software | computerized maintenance management system cmms | distributed control system dcs | email software | enterprise resource planning erp software | personnel scheduling software | structure query language sql | supervisory control and data acquisition scada software
11-3061.00,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",,computers and electronics (3.50) | mathematics (3.47) | telecommunications (2.58) | engineering and technology (2.37),microsoft excel | sap software | microsoft access | microsoft project | microsoft sharepoint | microsoft visio | oracle database | oracle peoplesoft | purchasing software | automated purchase order software | bowen and groves m1 erp | corel paradox | database software | enterprise resource planning erp software | epicor vantage erp
11-3071.00,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",,mathematics (3.59) | computers and electronics (3.19) | telecommunications (2.60) | engineering and technology (2.46),microsoft excel | autodesk autocad civil 3d | bentley microstation | microsoft access | microsoft project | microsoft sql server | microsoft visio | oracle primavera enterprise project portfolio management | sap software | structured query language sql | warehouse management system wms | 3pl central | abol manifest systems | airline global distribution systems gds software | aljex inventory
11-3071.04,Supply Chain Managers,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",,mathematics (3.48) | computers and electronics (3.14) | engineering and technology (2.57) | telecommunications (2.33),microsoft excel | sap software | meditech software | microsoft access | microsoft project | microsoft sharepoint | microsoft sql server | microsoft visio | oracle peoplesoft | structured query language sql | inventory management systems | warehouse management system wms | adexa supply chain planning | advanced business application programming abap | aldata warehouse management
11-3111.00,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization.",,mathematics (3.33) | computers and electronics (2.81) | telecommunications (1.86) | engineering and technology (1.24),microsoft excel | workday software | adobe illustrator | adobe photoshop | intuit quickbooks | microsoft access | microsoft project | microsoft sharepoint | microsoft sql server | microsoft visio | oracle peoplesoft | sap software | structured query language sql | oracle hris | adobe dreamweaver
11-3121.00,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization.",,computers and electronics (3.05) | mathematics (3.00) | telecommunications (2.14) | engineering and technology (1.41),microsoft excel | workday software | facebook | ibm spss statistics | intuit quickbooks | kronos workforce timekeeper | microsoft access | microsoft project | microsoft visio | oracle peoplesoft | sap software | applicant tracking software | oracle hris | aasofttech web organization chart | accountantsworld payroll relief
11-3131.00,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",,computers and electronics (3.21) | mathematics (2.21) | telecommunications (1.82) | engineering and technology (1.43),microsoft excel | adobe acrobat | adobe illustrator | adobe photoshop | apache cassandra | cisco webex | epic systems | javascript | microsoft project | microsoft visual basic | oracle peoplesoft | learning management system lms | adobe actionscript | adobe captivate | adobe dreamweaver
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",,mathematics (3.63) | engineering and technology (2.90) | computers and electronics (2.56) | telecommunications (1.87),microsoft excel | adobe photoshop | atlassian confluence | facebook | microsoft access | microsoft visio | sap software | accutech systems corporation accufarm-mgr | advanced veterinary services ranch vision | ag connections land db | ag leader technology sms advanced | agco advanced technology solutions fieldstar | agdata blue skies accounting | agevo farm manager | agrisoft / cmc agrisoft / erp
11-9021.00,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",,mathematics (4.00) | engineering and technology (3.95) | computers and electronics (3.40) | telecommunications (2.90),microsoft excel | microsoft project | procore software | adobe acrobat | adobe creative cloud software | autodesk autocad | autodesk autocad civil 3d | autodesk revit | google docs | microsoft access | microsoft sharepoint | microsoft visio | oracle primavera enterprise project portfolio management | sap software | trimble sketchup pro
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.",,mathematics (3.25) | computers and electronics (3.01) | engineering and technology (2.35) | telecommunications (1.84),intuit quickbooks | microsoft excel | acs technologies headmaster | auburn software debit square | b and i computer consultants childcare sage | bloomz | cirrus group daycare works | echurch com schoolperfect | emerging technologies office center | groupme | jackrabbit technologies jackrabbit care | kressa software schoolleader | maggey child care management software | microsoft publisher | mount taylor programs private advantage
11-9032.00,"Education Administrators, Kindergarten through Secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.",,mathematics (3.56) | computers and electronics (3.40) | engineering and technology (2.47) | telecommunications (2.18),microsoft excel | apache cassandra | ibm spss statistics | microsoft access | microsoft sharepoint | sas | the mathworks matlab | student information systems sis software | acs technologies headmaster | attendance tracking software | blackbaud the education edge | blackboard software | bloomz | common curriculum | computer resources mms
11-9033.00,"Education Administrators, Postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.",,computers and electronics (3.22) | mathematics (3.08) | telecommunications (1.96) | engineering and technology (1.87),microsoft excel | facebook | google docs | hypertext markup language html | ibm spss statistics | microsoft access | microsoft project | microsoft sharepoint | microsoft visio | oracle peoplesoft | sap software | sas | student information systems sis software | adobe dreamweaver | blackbaud the raiser s edge
11-9039.00,"Education Administrators, All Other",All education administrators not listed separately.,,,
11-9041.00,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",,engineering and technology (4.29) | mathematics (3.92) | computers and electronics (3.38) | telecommunications (2.39),autodesk autocad | microsoft excel | amazon dynamodb | amazon elastic compute cloud ec2 | amazon redshift | amazon web services aws software | ansible software | apache cassandra | apache hadoop | apache hive | apache kafka | apache maven | apple macos | atlassian confluence | atlassian jira
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.",,engineering and technology (3.94) | mathematics (3.57) | computers and electronics (3.25) | telecommunications (1.68),adobe illustrator | epic systems | linux | microsoft excel | microsoft project | microsoft sql server | microsoft sql server integration services ssis | microsoft sql server reporting services ssrs | microsoft visio | oracle java | oracle primavera enterprise project portfolio management | perl | python | sap software | unix
11-9051.00,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",,mathematics (3.39) | computers and electronics (2.86) | telecommunications (1.90) | engineering and technology (1.47),facebook | google docs | intuit quickbooks | microsoft excel | microsoft project | aestiva employee time clock | apache groovy | army food management information system | aurora foodpro | clubsoft food and beverage point of sale | culinary software services cheftec | database software | datateam lunch express | delphi technology | dinerware intuitive restaurant
11-9071.00,Gambling Managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.",,mathematics (4.15) | computers and electronics (3.53) | engineering and technology (2.18) | telecommunications (1.86),microsoft excel | employee scheduling software | human resources management system hrms | web browser software
11-9072.00,"Entertainment and Recreation Managers, Except Gambling","Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.",,computers and electronics (3.56) | mathematics (3.22) | telecommunications (2.34) | engineering and technology (2.28),microsoft excel | adobe acrobat | apple macos | atlassian confluence | cisco webex | facebook | google docs | hubspot software | ibm spss statistics | intuit quickbooks | linux | marketo marketing automation | microsoft access | microsoft project | microsoft sharepoint
11-9081.00,Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",,mathematics (4.33) | computers and electronics (4.10) | telecommunications (2.94) | engineering and technology (2.39),microsoft excel | facebook | microsoft access | property management system pms software | accounting software | anand systems asi frontdesk | delphi technology | email software | enablez resortsuite | epos business solutions system 3 pos | execu / tech systems hotel premium | gracesoft easy innkeeping suite | hotel management system software | housekeeping management software | inn-client server systems icss atrium
11-9111.00,Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",,computers and electronics (3.79) | mathematics (3.39) | engineering and technology (2.36) | telecommunications (2.36),microsoft excel | adobe acrobat | apache hadoop | apache maven | autodesk revit | cisco webex | eclinicalworks ehr software | epic systems | facebook | google docs | google sheets | henry schein dentrix | ibm spss statistics | intuit quickbooks | marketo marketing automation
11-9121.00,Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.",,computers and electronics (3.66) | mathematics (3.48) | engineering and technology (2.73) | telecommunications (1.83),microsoft excel | r | adobe acrobat | adobe photoshop | esri arcgis software | ibm spss statistics | microsoft access | microsoft project | microsoft sharepoint | microsoft visio | oracle database | sap software | sas | structured query language sql | the mathworks matlab
11-9121.01,Clinical Research Coordinators,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.",,computers and electronics (2.91) | mathematics (2.87) | telecommunications (1.87) | engineering and technology (1.81),microsoft excel | ibm spss statistics | microsoft access | microsoft project | python | r | sas | the mathworks matlab | clinical trial management software | 5am glassbox translational research | budgeting software | cleartrial | clinical data management system cdms | drug coding software | dzs software solutions clinplus
11-9121.02,Water Resource Specialists,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.",,engineering and technology (4.62) | mathematics (4.18) | computers and electronics (3.55) | telecommunications (2.09),esri arcgis software | microsoft excel | autodesk autocad | structured query language sql | geographic information system gis systems | customer relationship management crm software | database software | dhi mike urban | esri arcgis spatial analyst | esri arcinfo | esri arcpad | esri arcview | esri arcview 3d analyst | fishxing | geographic information system gis software
11-9131.00,Postmasters and Mail Superintendents,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",,mathematics (3.59) | computers and electronics (3.57) | telecommunications (2.34) | engineering and technology (2.27),microsoft excel | microsoft windows | sap software | collection point management system cpms | ebuy | email software | facility database software | payroll software | personnel management software | personnel scheduling software | point of sale pos software | postal boundary mapping software | postal tracking software | vehicle management software | web box activity tracing system webbats
11-9141.00,"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).",,mathematics (3.60) | computers and electronics (3.50) | telecommunications (2.84) | engineering and technology (2.30),microsoft excel | yardi software | facebook | google analytics | google docs | hypertext markup language html | intuit quickbooks | microsoft access | microsoft project | microsoft windows | advantos systems datatrust enterprise | biometric reader software | bostonpost technology property manager | calendar and scheduling software | card key management software
11-9151.00,Social and Community Service Managers,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",,mathematics (3.33) | computers and electronics (3.29) | telecommunications (2.51) | engineering and technology (1.51),microsoft access | microsoft excel | microsoft project | blackbaud the raiser s edge | client information databases | corel quattropro | corel wordperfect office suite | filemaker pro | financial accounting software | healthcare common procedure coding system hcpcs | ibm lotus 1-2-3 | microsoft dynamics | microsoft publisher | microsoft visual foxpro | oracle reports
11-9161.00,Emergency Management Directors,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",,telecommunications (3.91) | computers and electronics (3.50) | mathematics (2.68) | engineering and technology (2.59),microsoft excel | esri arcgis software | microsoft sharepoint | alert technologies opscenter | desktop publishing software | digital engineering corporation e-maps | emergency managers weather information network emwin | emergency services integrators esi webeoc | federal emergency management information system femis | geographic information system gis software | graphics software | ibm lotus notes | mapinfo professional | mcafee | national center for crisis and continuity coordination nc4 e team
11-9171.00,Funeral Home Managers,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.",,computers and electronics (3.40) | mathematics (3.12) | telecommunications (2.36) | engineering and technology (1.47),microsoft excel | codejam memoriesontv | csr consultants cemetery management sc | email software | financial reporting software | fpa software maccs | funeralone life tributes | hmis advantage | icims talent cloud software | mortware professional | twin tiers technologies cims | twin tiers technologies mims | web browser software
11-9179.00,"Personal Service Managers, All Other",All personal service managers not listed separately.,,,
11-9179.01,Fitness and Wellness Coordinators,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.",,computers and electronics (2.96) | mathematics (2.75) | telecommunications (2.24) | engineering and technology (1.81),microsoft excel | adobe acrobat | google workspace software | microsoft windows | airtable | email software | microfit healthwizard | microsoft publisher | oracle hris | payroll software | web browser software | work scheduling software
11-9179.02,Spa Managers,"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.",,mathematics (3.38) | computers and electronics (2.57) | telecommunications (2.38) | engineering and technology (1.37),facebook | microsoft excel | bizlink salon manager | booker software spabooker | clientrak | crimpers management software crimpers salon software | csi software spa management | daysmart software salon iris | elite software elite salon and spa management | elite software elite salon and spa payroll | envision salon | floydware rosy | innovative business computer solutions spa / salon manager | intelligenz solutions intellispa | leprechaun spa and salon software
11-9199.00,"Managers, All Other",All managers not listed separately.,,,
11-9199.01,Regulatory Affairs Managers,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.",,computers and electronics (2.91) | mathematics (2.74) | engineering and technology (2.55) | telecommunications (1.78),microsoft excel | adobe acrobat | microsoft access | microsoft project | microsoft sharepoint | microsoft visio | microsoft windows | sap software | structured query language sql | tableau | adlib express | analyse-it | aris global register | axway esubmissions | database software
11-9199.02,Compliance Managers,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.",,computers and electronics (3.60) | mathematics (2.95) | telecommunications (2.53) | engineering and technology (1.98),microsoft excel | adobe acrobat | apple safari | microsoft access | microsoft project | microsoft sharepoint | microsoft visio | microsoft windows | mozilla firefox | 80-20 software leaders4 | actimize brokerage compliance solutions | agiliance compliance manager | aline grc | arc logics sword | archer compliance management
11-9199.08,Loss Prevention Managers,"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures.",,computers and electronics (3.45) | mathematics (3.23) | telecommunications (2.55) | engineering and technology (2.32),google workspace software | microsoft excel | microsoft access | microsoft project | microsoft sharepoint | microsoft windows | mysql | sap software | structured query language sql | enterprise application integration eai software | reporting software | enabl-u technologies apis | financial accounting software | ibm lotus notes | inventory tracking software
11-9199.09,Wind Energy Operations Managers,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning.",,engineering and technology (3.63) | computers and electronics (3.22) | mathematics (3.18) | telecommunications (3.03),autodesk autocad | microsoft excel | microsoft project | sap software | computerized diagnostic software | computerized maintenance management system cmms | employee scheduling software | gensuite | ibm lotus notes | inventory control software | local area network lan software | oracle enterprise asset management eam | oracle primavera systems | programmable logic controller plc software | supervisory control and data acquisition scada software
11-9199.10,Wind Energy Development Managers,"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects.",,engineering and technology (3.67) | mathematics (3.32) | computers and electronics (3.04) | telecommunications (2.17),autodesk autocad | esri arcgis software | microsoft excel | microsoft project | microsoft visio | sap software | oracle primavera systems | web browser software | web conferencing software
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.,,mathematics (3.48) | engineering and technology (3.14) | computers and electronics (2.86) | telecommunications (1.73),esri arcgis software | linux | microsoft access | microsoft excel | microsoft powershell | microsoft project | microsoft sharepoint | microsoft sql server reporting services ssrs | oracle database | postgresql | python | salesforce software | sap software | tableau | business software applications
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.",,mathematics (2.53) | computers and electronics (2.52) | telecommunications (2.39) | engineering and technology (1.09),microsoft excel | adobe photoshop | apple macos | facebook | salesforce software | zoom | avid technology inews | customer relationship management crm software | database software | email software | financial accounting software | lexisnexis | linkedin | salesforce marketing cloud | spreadsheet software
13-1021.00,"Buyers and Purchasing Agents, Farm Products","Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers. May negotiate contracts.",,mathematics (3.98) | computers and electronics (3.60) | telecommunications (2.60) | engineering and technology (2.17),microsoft excel | sap software | amazon web services aws software | atlassian jira | google angular | microsoft access | microsoft project | oracle database | salesforce software | purchasing software | customer relationship management crm software | deltek costpoint | enterprise resource planning erp system | ibm lotus notes | inventory management systems
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. May negotiate contracts. Includes assistant wholesale and retail buyers of nonfarm products.",,mathematics (3.57) | computers and electronics (3.40) | telecommunications (1.98) | engineering and technology (1.88),microsoft excel | sap software | eclipse ide | facebook | intuit quickbooks | microsoft access | microsoft project | microsoft sharepoint | microsoft windows | oracle database | oracle peoplesoft | purchasing software | accounting software | advanced retail management systems retail pro | applicant tracking software
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semifinished materials for manufacturing. May negotiate contracts.",,mathematics (3.37) | computers and electronics (3.32) | telecommunications (2.42) | engineering and technology (2.16),microsoft excel | microsoft sharepoint | sap software | adobe acrobat | google docs | intuit quickbooks | microsoft access | microsoft project | microsoft visio | oracle database | oracle peoplesoft | oracle primavera enterprise project portfolio management | accounting software | apple appleworks | assured software jpp
13-1031.00,"Claims Adjusters, Examiners, and Investigators",Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims.,,mathematics (3.66) | computers and electronics (3.43) | telecommunications (2.33) | engineering and technology (1.76),microsoft excel | apple safari | microsoft access | mozilla firefox | zoom | xactware xactimate | 4n6xprt systems stiffcalcs | adp software | agency management systems ams 360 | arsoftware winsmac | autoclaims direct directlink | automatic data processing autosource | automatic data processing claims manager and dispatch | automatic data processing estimating | axonwave fraud and abuse management system
13-1032.00,"Insurance Appraisers, Auto Damage",Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.,,computers and electronics (3.36) | mathematics (2.74) | telecommunications (2.20) | engineering and technology (1.86),adobe acrobat | microsoft excel | microsoft windows | disassembler software | a-t solutions easy street draw | app software associations apptrak net | cost estimating software | email software | information services inc ccc pathways appraisal solution | meridian technologies surepoint | mitchell international mitchell workcenter | nch software express invoice | solera audatex estimating | swan river software estimiser pro | vertafore imageright
13-1041.00,Compliance Officers,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere.",,computers and electronics (3.22) | telecommunications (2.63) | mathematics (2.52) | engineering and technology (1.31),microsoft excel | microsoft access | microsoft windows | commercial driver s license information system cdlis | computer-assisted testing software | database software | digital imaging system software | document scanning software | driving simulators | national driver register ndr | safety status measurement system safestat | traffic record databases | word processing software
13-1041.01,Environmental Compliance Inspectors,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances.",,computers and electronics (3.45) | mathematics (3.10) | engineering and technology (2.85) | telecommunications (1.75),microsoft excel | adobe acrobat | autodesk autocad | microsoft access | microsoft project | microsoft sharepoint | salesforce software | sap software | unix | database software | dqo-pro | enterprise resource planning erp software | environmental knowledge and assessment tool ekat | field operations and records management system forms ii lite | fully integrated environmental location decision support fields
13-1041.03,Equal Opportunity Representatives and Officers,"Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability.",,computers and electronics (2.78) | mathematics (2.74) | telecommunications (1.74) | engineering and technology (1.17),microsoft excel | microsoft access | microsoft sharepoint | bashen eeofedsoft | bashen eeosoft | bashen linkline | berkshire associates balanceaap | biddle adverse impact toolkit | biddle autoaap | corel wordperfect office suite | database software | eeo made simple aapmaker | eeo made simple apptrac | equal employment opportunity eeo compliance software | equitas eeostat
