onet_soc_code,canonical_title,description,matched_target_families,top_knowledge,top_technology_examples
15-2099.00,"Mathematical Science Occupations, All Other",All mathematical scientists not listed separately.,,,
15-2099.01,Bioinformatics Technicians,"Apply principles and methods of bioinformatics to assist scientists in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. Apply bioinformatics tools to visualize, analyze, manipulate or interpret molecular data. May build and maintain databases for processing and analyzing genomic or other biological information.","analytics,data_science",computers and electronics (4.77) | mathematics (4.50) | engineering and technology (2.86) | telecommunications (1.83),apache subversion svn | c | c++ | git | hypertext markup language html | ibm spss statistics | jenkins ci | linux | microsoft access | microsoft excel | microsoft sharepoint | microsoft sql server | microsoft visio | microsoft windows | mysql
17-1011.00,"Architects, Except Landscape and Naval","Plan and design structures, such as private residences, office buildings, theaters, factories, and other structural property.",,engineering and technology (4.05) | computers and electronics (4.00) | mathematics (3.38) | telecommunications (2.40),adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop | autodesk autocad | autodesk revit | microsoft excel | trimble sketchup pro | adobe acrobat | amazon elastic compute cloud ec2 | amazon redshift | amazon web services aws software | apache cassandra | apache hadoop | apache hive
17-1012.00,Landscape Architects,"Plan and design land areas for projects such as parks and other recreational facilities, airports, highways, hospitals, schools, land subdivisions, and commercial, industrial, and residential sites.",,engineering and technology (3.75) | computers and electronics (3.45) | mathematics (3.05) | telecommunications (2.16),adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop | autodesk autocad | autodesk autocad civil 3d | autodesk revit | esri arcgis software | microsoft excel | trimble sketchup pro | adobe acrobat | bentley microstation | microsoft access | microsoft project | lumion
17-1021.00,Cartographers and Photogrammetrists,"Research, study, and prepare maps and other spatial data in digital or graphic form for one or more purposes, such as legal, social, political, educational, and design purposes. May work with Geographic Information Systems (GIS). May design and evaluate algorithms, data structures, and user interfaces for GIS and mapping systems. May collect, analyze, and interpret geographic information provided by geodetic surveys, aerial photographs, and satellite data.",,computers and electronics (4.22) | mathematics (3.33) | engineering and technology (2.84) | telecommunications (2.06),esri arcgis software | adobe acrobat | adobe creative cloud software | adobe illustrator | adobe indesign | adobe photoshop | autodesk autocad | bentley microstation | c | extensible markup language xml | javascript object notation json | microsoft access | microsoft excel | microsoft sharepoint | microsoft visual basic
17-1022.00,Surveyors,"Make exact measurements and determine property boundaries. Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth's surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes.",,mathematics (4.70) | engineering and technology (4.25) | computers and electronics (3.95) | telecommunications (2.20),autodesk autocad | autodesk autocad civil 3d | bentley microstation | microsoft excel | esri arcgis software | autodesk autocad land desktop | bentley geopak bridge | bentley systems inroads suite | cadcorp desktop gis | carlson survcadd | carlson survce | carlson survey | ce surveyor iii | cloudworks | cmt incorporated cogocad
17-1022.01,Geodetic Surveyors,"Measure large areas of the Earth's surface using satellite observations, global navigation satellite systems (GNSS), light detection and ranging (LIDAR), or related sources.",,mathematics (4.78) | engineering and technology (3.96) | computers and electronics (3.77) | telecommunications (2.44),amazon web services aws software | autodesk autocad | bentley microstation | c# | c++ | esri arcgis software | hypertext markup language html | linux | microsoft access | microsoft excel | microsoft windows | oracle java | sap software | structured query language sql | advanced graphics technology procogo
17-2011.00,Aerospace Engineers,"Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques.",,engineering and technology (4.76) | mathematics (4.25) | computers and electronics (3.85) | telecommunications (1.87),autodesk autocad | c | c++ | dassault systemes solidworks | microsoft excel | python | the mathworks matlab | c# | extensible markup language xml | linux | microsoft access | microsoft project | microsoft visio | microsoft visual basic | microsoft visual studio
17-2021.00,Agricultural Engineers,"Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products.",,engineering and technology (4.85) | computers and electronics (4.50) | mathematics (4.25) | telecommunications (2.70),adobe indesign | adobe photoshop | autodesk autocad | dassault systemes solidworks | microsoft access | microsoft excel | microsoft project | microsoft sharepoint | oracle database | oracle java | sap software | sas | eagle point landcadd | enterprise resource planning erp software | esri arcview
17-2031.00,Bioengineers and Biomedical Engineers,"Apply knowledge of engineering, biology, chemistry, computer science, and biomechanical principles to the design, development, and evaluation of biological, agricultural, and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and health management and care delivery systems.",,engineering and technology (4.57) | computers and electronics (4.48) | mathematics (4.43) | telecommunications (2.57),microsoft excel | python | r | the mathworks matlab | adobe illustrator | adobe photoshop | autodesk autocad | c | c++ | dassault systemes solidworks | extensible markup language xml | hypertext markup language html | javascript | linux | microsoft access
